fkghdikaeeklgecgdkkchfcedbemficgllfaighiffdmabiaiheelaibcmaekhegfcgeaiibeefgmicdiialkddglgacfmffbfelgiffbgabdeiakiegfcbkkagffgmkcliialdagdgadifhhkhgigdfcmdfghbclimlieehflmbkimleiailkgbgaflmemgfibmcahmgdahbdhkfichbmahlicmdciaakfkfildiaalcffammbcbakcikifdbcdfflimmefgiflkfkbibdiemcaeeccaibmlehgikbcgehffbeemdmdeifiidgiifbkhgifklimiifblcgieaklchfbiabcbaekdelgiglkggfdiakclmiiialdfiemikcggmiimfbkcgghlhmielliiblcemgceeieaiilmfaikddbhfgedllicfkcegcelblkiilhhimhmgiblhfmbaabahgidgkgdkbhdhaeimalfifklidgemfi,[[0, 0, 0, 0, 0], [0, 0, 0, 0, 1], [0, 0, 0, 1, 0], [0, 0, 0, 1, 1], [0, 0, 1, 0, 0], [0, 0, 1, 0, 1], [0, 0, 1, 1, 0], [0, 0, 1, 1, 1], [0, 1, 0, 0, 0], [0, 1, 0, 0, 0], [0, 1, 0, 0, 1], [0, 1, 0, 1, 0], [0, 1, 0, 1, 1], [0, 1, 1, 0, 0], [0, 1, 1, 0, 1], [0, 1, 1, 1, 0], [0, 1, 1, 1, 1], [1, 0, 0, 0, 0], [1, 0, 0, 0, 1], [1, 0, 0, 1, 0], [1, 0, 0, 1, 1], [1, 0, 0, 1, 1], [1, 0, 1, 0, 0], [1, 0, 1, 0, 1], [1, 0, 1, 1, 0], [1, 0, 1, 1, 1]]
blkeidgklggfidgbfmbgfhfmdmgkedkkdegmeeklihigfggfgiihifkhdbkeeamaeikembkgdeiillihkflefikccgibbeehgagkaegckeffblakmbieligdcigihfegcmfekbhddiaahhgbkbbiaacibgidliihikemabgggglfihleihacecchkfmgfgheibichibgmkikgkfigcdkgcikglflhaimdfbcfiehlgkabccfkcckfkhlmackiimifmdaafkkmilaleiakbghmclefailhfglkmkimccfmhhimdlmaeelceliklllekhbblikmbgkilmmggefbleiimifhakcdgilmaikklmaciileccfekbglieileeegmicikkibiefllicaidlmmglimgahgledhidaklhdaeiigggidihlimfmlmbmlflhimfmibilaecakeadcmacigfhhhmkabgemhccdicgclifihbbelmmlia,[[0, 0, 0, 0, 0], [0, 0, 0, 0, 1], [0, 0, 0, 1, 0], [0, 0, 0, 1, 1], [0, 0, 1, 0, 0], [0, 0, 1, 0, 1], [0, 0, 1, 1, 0], [0, 0, 1, 1, 1], [0, 1, 0, 0, 0], [0, 1, 0, 0, 0], [0, 1, 0, 0, 1], [0, 1, 0, 1, 0], [0, 1, 0, 1, 1], [0, 1, 1, 0, 0], [0, 1, 1, 0, 1], [0, 1, 1, 1, 0], [0, 1, 1, 1, 1], [1, 0, 0, 0, 0], [1, 0, 0, 0, 1], [1, 0, 0, 1, 0], [1, 0, 0, 1, 1], [1, 0, 0, 1, 1], [1, 0, 1, 0, 0], [1, 0, 1, 0, 1], [1, 0, 1, 1, 0], [1, 0, 1, 1, 1]]
flicmablbggcbdiicflmmkkighidifbeimbeekdhcdfgcadmaidhiidelichadfkhkmlaamckladmkmlcklcchbimicmahilaiaficllflhhmdhdffhmgaiifcedeacadldmdgbcggifdgkkfabhackaaliaibifkdahclmbmgefgabgbiklchlgfgmbdhdalimldikfhgibiemhflfcbildfcmkcicfcbgbdcliibmmgdifiagelfmgfckiigaimgelcbmeeiddhcdlgbidkghaecfdlbaglahalcbcdcbleedmgefbdkgkihmmfdeihifkelmdfaacegifffleliieimhkldciadaicliflghhdbachbiikbaeeakgecifhgghbcilembagiiieaillgfdaagigmmalmiacgmkicfbaadliacihleheeeebdhiiiclkcbbciliihcciielfehkccifmdligabelceeglfhfbkillbl,[[0, 0, 0, 0, 0], [0, 0, 0, 0, 1], [0, 0, 0, 1, 0], [0, 0, 0, 1, 1], [0, 0, 1, 0, 0], [0, 0, 1, 0, 1], [0, 0, 1, 1, 0], [0, 0, 1, 1, 1], [0, 1, 0, 0, 0], [0, 1, 0, 0, 0], [0, 1, 0, 0, 1], [0, 1, 0, 1, 0], [0, 1, 0, 1, 1], [0, 1, 1, 0, 0], [0, 1, 1, 0, 1], [0, 1, 1, 1, 0], [0, 1, 1, 1, 1], [1, 0, 0, 0, 0], [1, 0, 0, 0, 1], [1, 0, 0, 1, 0], [1, 0, 0, 1, 1], [1, 0, 0, 1, 1], [1, 0, 1, 0, 0], [1, 0, 1, 0, 1], [1, 0, 1, 1, 0], [1, 0, 1, 1, 1]]
fcbadiidigldbgeieddfhgiffgghihhcmgadlilgmgmafhdfimhkcheihamdciafibgkgmldkeeimhmgadhdefkiihkffhfibkmfkmiiamcdlfmgfafighfcmmidblgghkackbgfechachigdblhbgfdiidkldcilcbdifcealikbhiaabbfidhcaemgefbadikbaabhilidimibgbcchfmkidhkdmgkgcidgdbdcmaiembkdmigcdgilkfhlifeallelgkggigmmcmaghmigilfcmciighddedaiehffhlddkdmihamkmgieffbcieimcicbbmkladfigcgilmagkddmibfheaalieecdlgefhiekehcfemddbdgdmieiilffcecgfeekihaimacebebafggffhidgidedgehfmgbflgbbialdgeciagmbkgielagcaaekbleamcbihggaibfecgiccilhddkkacgkldfkkidgfkeii,[[0, 0, 0, 0, 0], [0, 0, 0, 0, 1], [0, 0, 0, 1, 0], [0, 0, 0, 1, 1], [0, 0, 1, 0, 0], [0, 0, 1, 0, 1], [0, 0, 1, 1, 0], [0, 0, 1, 1, 1], [0, 1, 0, 0, 0], [0, 1, 0, 0, 0], [0, 1, 0, 0, 1], [0, 1, 0, 1, 0], [0, 1, 0, 1, 1], [0, 1, 1, 0, 0], [0, 1, 1, 0, 1], [0, 1, 1, 1, 0], [0, 1, 1, 1, 1], [1, 0, 0, 0, 0], [1, 0, 0, 0, 1], [1, 0, 0, 1, 0], [1, 0, 0, 1, 1], [1, 0, 0, 1, 1], [1, 0, 1, 0, 0], [1, 0, 1, 0, 1], [1, 0, 1, 1, 0], [1, 0, 1, 1, 1]]
dcfhhliiaifcmkhdiimehdlkkmbglimllikhilkiccfghiaglmgbcimkfakilmemiibehhiilkfldilakhhddgbamgfkbghagcdcmebmdhekkifkiacfdiafdmhhblaafmmamieibmlmckhlamhgidkmiihifhccgmdfggldliddhikhiifmhfebekggeigfifmfgkcgcaieladaddbidahlfgmchhbkhkhidieeimikgebkhhmkelkgemfhhadicgimmagclckhglkfifceiegiiccbhkihlihcmkmikihfgiggdifgbblbaggcaefgibbmhdliifggkeabmdkabidhaeghliklffklkkabldhchfmakcaadbbemckiakkkadbkddihfflleigkhcgidmcaelimlcifhldkbamidbekidaikigeccfhgliieallgkiigmicamgedieegciaifmiaigmkkighcmheibbibgihhkckfbh,[[0, 0, 0, 0, 0], [0, 0, 0, 0, 1], [0, 0, 0, 1, 0], [0, 0, 0, 1, 1], [0, 0, 1, 0, 0], [0, 0, 1, 0, 1], [0, 0, 1, 1, 0], [0, 0, 1, 1, 1], [0, 1, 0, 0, 0], [0, 1, 0, 0, 0], [0, 1, 0, 0, 1], [0, 1, 0, 1, 0], [0, 1, 0, 1, 1], [0, 1, 1, 0, 0], [0, 1, 1, 0, 1], [0, 1, 1, 1, 0], [0, 1, 1, 1, 1], [1, 0, 0, 0, 0], [1, 0, 0, 0, 1], [1, 0, 0, 1, 0], [1, 0, 0, 1, 1], [1, 0, 0, 1, 1], [1, 0, 1, 0, 0], [1, 0, 1, 0, 1], [1, 0, 1, 1, 0], [1, 0, 1, 1, 1]]
dideahiaibdafaglfbfhcgeimmmlamcgallfahkfgiakgddllilimamcgdmhbfegeilicfcdifhhghbigkmkahdfckfbeiaklilkkekkehkiacedliiehhllbibmdhlidmmimdfebikcadeigaikadekefeilmkighigilgbgmcdbfgafgkiifalddmhmikhkkekaigkfiaamhihiiahhdgamffbigieiglhibfiaadmlcdhfdfmmchigmdcdhciclhbbicidddkiicldhghihdifciicgifilbcgibbakcfelgagblmkdeciaefillefkfgmkhibiffcefagkachfdhchchieefblhiiadiidhhkdmlekfeieieigilbidfgbhmifggafbbhiibmiiidmbihfaalhaabdfhbhmeikbmbgfkdcmcimlmmeiihambkhhifglhacdhbfadckaefgkigbibikihkfheieakckbahcmbeabk,[[0, 0, 0, 0, 0], [0, 0, 0, 0, 1], [0, 0, 0, 1, 0], [0, 0, 0, 1, 1], [0, 0, 1, 0, 0], [0, 0, 1, 0, 1], [0, 0, 1, 1, 0], [0, 0, 1, 1, 1], [0, 1, 0, 0, 0], [0, 1, 0, 0, 0], [0, 1, 0, 0, 1], [0, 1, 0, 1, 0], [0, 1, 0, 1, 1], [0, 1, 1, 0, 0], [0, 1, 1, 0, 1], [0, 1, 1, 1, 0], [0, 1, 1, 1, 1], [1, 0, 0, 0, 0], [1, 0, 0, 0, 1], [1, 0, 0, 1, 0], [1, 0, 0, 1, 1], [1, 0, 0, 1, 1], [1, 0, 1, 0, 0], [1, 0, 1, 0, 1], [1, 0, 1, 1, 0], [1, 0, 1, 1, 1]]
iifccallgeflcimkgibakhlemlihckefbmliilmhefellaemcifaieliieafebfhfgelhleddlflhgeldaeigkbhaidiaicfhfigfidgggbihmekmkgaflelilhlbkgckefademhgkkgchfghgelkgbibmbemiibibhikbdlibkfglamfckigdbhdbciacglhbgfgciimcmlcaceiekkickbfmhldmillgmadefgdfibfeikbkieafikgadggfacfaifehammlhgdflfmgidhihekgbebgmehhkembgfihabmihmgefcmfdhfkmicdaihlhcbgfgfidkeelfacichikigmaggldeiamkfdeiddibbdielfallecegddieikediiidghiigibgiimgimimadgihfhgilhklifbllgkflfiagmlkkhmfikchihiccghhhbmmkgcckelabdammcffifhhmcmlmliiihiilkffflelemcmlc,[[0, 0, 0, 0, 0], [0, 0, 0, 0, 1], [0, 0, 0, 1, 0], [0, 0, 0, 1, 1], [0, 0, 1, 0, 0], [0, 0, 1, 0, 1], [0, 0, 1, 1, 0], [0, 0, 1, 1, 1], [0, 1, 0, 0, 0], [0, 1, 0, 0, 0], [0, 1, 0, 0, 1], [0, 1, 0, 1, 0], [0, 1, 0, 1, 1], [0, 1, 1, 0, 0], [0, 1, 1, 0, 1], [0, 1, 1, 1, 0], [0, 1, 1, 1, 1], [1, 0, 0, 0, 0], [1, 0, 0, 0, 1], [1, 0, 0, 1, 0], [1, 0, 0, 1, 1], [1, 0, 0, 1, 1], [1, 0, 1, 0, 0], [1, 0, 1, 0, 1], [1, 0, 1, 1, 0], [1, 0, 1, 1, 1]]
kmaadiihigmfiimibifgmhlfailailgkbdeecgmcifigkafeehimdchicbmiaggehleidfihlmbmclilbmekdfibdahkdbakakbelieccfkkkhbahiihlmlmiekhelmcfhgmmkhkcechkemekdlelabgelbcikdgkakgfidfaieckemmcgfggmdlkhedkihgadmdhmkigdikdilfelelimakifhhacaihililimdbimkdfmiglgblmkemambekgkiedmeebckccigikedeebfchakhdiafkdibmbceigkdiambiaiimfdhbhifimclmkifgacfdgdddiialeekficifhfabhdkiciileiibeibicdmbamfieiifcbkiadldbchalcibahdfflbgfdaedgbkidcaliikllbilidbbgggdhciakahaabkdfeemmbadiabfhfafmaabhlmcbiilmgmmckcfmiigbdkgffelcgdgbgkfaigi,[[0, 0, 0, 0, 0], [0, 0, 0, 0, 1], [0, 0, 0, 1, 0], [0, 0, 0, 1, 1], [0, 0, 1, 0, 0], [0, 0, 1, 0, 1], [0, 0, 1, 1, 0], [0, 0, 1, 1, 1], [0, 1, 0, 0, 0], [0, 1, 0, 0, 0], [0, 1, 0, 0, 1], [0, 1, 0, 1, 0], [0, 1, 0, 1, 1], [0, 1, 1, 0, 0], [0, 1, 1, 0, 1], [0, 1, 1, 1, 0], [0, 1, 1, 1, 1], [1, 0, 0, 0, 0], [1, 0, 0, 0, 1], [1, 0, 0, 1, 0], [1, 0, 0, 1, 1], [1, 0, 0, 1, 1], [1, 0, 1, 0, 0], [1, 0, 1, 0, 1], [1, 0, 1, 1, 0], [1, 0, 1, 1, 1]]
mmiiiigeellhemebeimhgiibfimbhlmleiimhldikhbdmhfefimgdckifabdfhldldhhdccimfalicebcfckkdfiikgahgekdhihggdkmmelihiciiagkkikbimaidfeilihahigbdhccekmdkifbhcegmklibfidkmhdibceagiebbiklliegmkfeielekkmaekblcdffcfmglmlbdfkaibblifilmgkceecliickhgihdikkebedicicclagedmecebmikkaaligdmffhhgficmmhfklibaibcfgkggcklicegbfdkekadbfkebkaakchlbmfafgdbfkdikkikgdkbaciabibihcgicifdeklfeeabiihfclcfmeiihmlamebiefbilediiiiihmemhlmgeildmkgbibgmkilcilhdmfbliakeklemegfallcchlabcfabelgificaghcecelkdaicihggdeiealcicgaiiiagfici,[[0, 0, 0, 0, 0], [0, 0, 0, 0, 1], [0, 0, 0, 1, 0], [0, 0, 0, 1, 1], [0, 0, 1, 0, 0], [0, 0, 1, 0, 1], [0, 0, 1, 1, 0], [0, 0, 1, 1, 1], [0, 1, 0, 0, 0], [0, 1, 0, 0, 0], [0, 1, 0, 0, 1], [0, 1, 0, 1, 0], [0, 1, 0, 1, 1], [0, 1, 1, 0, 0], [0, 1, 1, 0, 1], [0, 1, 1, 1, 0], [0, 1, 1, 1, 1], [1, 0, 0, 0, 0], [1, 0, 0, 0, 1], [1, 0, 0, 1, 0], [1, 0, 0, 1, 1], [1, 0, 0, 1, 1], [1, 0, 1, 0, 0], [1, 0, 1, 0, 1], [1, 0, 1, 1, 0], [1, 0, 1, 1, 1]]
fdcmflkhecikaaelgdmlhliaddbefhbaaflcglmgceebcmbiiklmblbhgclfgfbkfkkbmfmlkemgilbbmigimighhbcbbdfeedlciaifadlhghdkiebfglmahilfdhgkhhgibeehaamcehcaliieeiedekihhkdhcedhlbhffgidifamfmdfhfigafiehkaifmldcickmiiiiifdfmdelekhemkgghkcklkddbdbhglfimmfhfideiabkkffalaggiacmihhcighibceiglfaladalcmaleafbglcecbmgldddehiifiegkddmggcbmiigkdckmbacfgdkififacgbembgiiffcfeaeaihglicgicfgickadmhchaaeggddllbehmlflbiildifdkffkckdcdeimhkdddmimimhfiilgadlakmgklibbalieikdmcfceciflkfiembchadkkmcmeihmfdlfiiihfihigdlikadimffbe,[[0, 0, 0, 0, 0], [0, 0, 0, 0, 1], [0, 0, 0, 1, 0], [0, 0, 0, 1, 1], [0, 0, 1, 0, 0], [0, 0, 1, 0, 1], [0, 0, 1, 1, 0], [0, 0, 1, 1, 1], [0, 1, 0, 0, 0], [0, 1, 0, 0, 0], [0, 1, 0, 0, 1], [0, 1, 0, 1, 0], [0, 1, 0, 1, 1], [0, 1, 1, 0, 0], [0, 1, 1, 0, 1], [0, 1, 1, 1, 0], [0, 1, 1, 1, 1], [1, 0, 0, 0, 0], [1, 0, 0, 0, 1], [1, 0, 0, 1, 0], [1, 0, 0, 1, 1], [1, 0, 0, 1, 1], [1, 0, 1, 0, 0], [1, 0, 1, 0, 1], [1, 0, 1, 1, 0], [1, 0, 1, 1, 1]]
ifibeikcadbggbifdiiblfckmkmheihmghgmekifigililiimbalgdimfckchmiifdiibmcbhilaimggibmibbegblhgfmddgfefeadclkidcadefmclleifcbegcaifmcakiicfhlkcidgeedimchlfgicmfhhegbbiehkhdmiibiihaabimglkbelbkiachemgekiimcmealahgkiimbkgamdbdhgfdliglilcfblfllkdfhiflkbalghelmgialbgigbceihambkfhmmhamfihagiffgaihbikfdaibilmdmbdmlcmhmhidcmlmmfblaidiifieehibbiegckgmflimicdadeiakcflmhklbimgmfiicdelkhckiidiemgebddmidbcifbcedlallaiiaahkfgdmemciffbkmcgemimgabhlidaifbkdccfgiddgcbmgifcigecdlkkekimeeaafaaddmibdhgfdcifbcagfiedai,[[0, 0, 0, 0, 0], [0, 0, 0, 0, 1], [0, 0, 0, 1, 0], [0, 0, 0, 1, 1], [0, 0, 1, 0, 0], [0, 0, 1, 0, 1], [0, 0, 1, 1, 0], [0, 0, 1, 1, 1], [0, 1, 0, 0, 0], [0, 1, 0, 0, 0], [0, 1, 0, 0, 1], [0, 1, 0, 1, 0], [0, 1, 0, 1, 1], [0, 1, 1, 0, 0], [0, 1, 1, 0, 1], [0, 1, 1, 1, 0], [0, 1, 1, 1, 1], [1, 0, 0, 0, 0], [1, 0, 0, 0, 1], [1, 0, 0, 1, 0], [1, 0, 0, 1, 1], [1, 0, 0, 1, 1], [1, 0, 1, 0, 0], [1, 0, 1, 0, 1], [1, 0, 1, 1, 0], [1, 0, 1, 1, 1]]
