57404312213102573130535121623701575324660752536153337662374157531437046612335353163756240153524131576357403153520146143661013724660733535321375624015352414060075253527613574301533301615357376157466121,{b'a': [(5, 7)], b'b': [(2, 2), (4, 5), (5, 4), (6, 5)], b'c': [(4, 4), (7, 5)], b'd': [(3, 1), (4, 3)], b'e': [(0, 1), (1, 4), (3, 0), (4, 1), (7, 6)], b'f': [(1, 0), (3, 4), (7, 0)], b'g': [(0, 7), (1, 2), (6, 2)], b'h': [(3, 3), (5, 2)], b'i': [(1, 1), (6, 0), (6, 6)], b'j': [(4, 7), (7, 3)], b'k': [(0, 0), (0, 6), (3, 5), (5, 5)], b'l': [(0, 4), (2, 4), (4, 6), (7, 7)], b'm': [(0, 2), (1, 3), (2, 7), (7, 1)], b'n': [(4, 0)], b'o': [(1, 6), (2, 1)], b'p': [(2, 6)], b'q': [(3, 2), (4, 2), (7, 4)], b'r': [(3, 7)], b's': [(3, 6), (6, 1)], b't': [(5, 3)], b'u': [(0, 5), (5, 6)], b'v': [(6, 4), (6, 7)], b'w': [(5, 0), (5, 1)], b'x': [(0, 3), (1, 5), (2, 3), (2, 5), (7, 2)], b'y': [(1, 7), (6, 3)], b'z': [(2, 0)]}
21107355141760326652333250512142736510553255140443325436106114215542165514421655403655554032714036305552321047217073551447613254361001214273555317314700150410552604334442600403541736107342524273172155,{b'a': [(2, 1), (3, 6)], b'b': [(1, 1), (2, 6), (5, 6)], b'c': [(2, 7), (4, 1), (4, 5), (7, 7)], b'd': [(0, 3), (5, 0), (5, 2), (7, 3)], b'e': [(0, 4), (1, 7), (4, 7)], b'f': [(0, 2), (0, 6), (1, 2), (3, 7), (4, 6), (6, 4)], b'g': [(3, 3), (5, 7)], b'h': [(1, 4), (4, 0), (5, 3)], b'i': [(4, 2)], b'j': [(6, 3)], b'k': [(0, 7), (2, 0), (3, 5), (7, 2)], b'l': [(6, 0)], b'm': [(5, 4)], b'n': [(1, 0), (7, 0)], b'o': [(3, 2)], b'p': [(1, 5)], b'q': [(6, 2)], b'r': [(0, 0), (3, 4), (6, 6), (7, 6)], b's': [(0, 1), (1, 6), (3, 0), (3, 1), (5, 1)], b't': [(5, 5)], b'u': [(4, 4), (6, 5), (7, 1)], b'v': [(2, 4)], b'w': [(4, 3), (6, 1)], b'x': [(2, 3), (7, 5)], b'y': [(2, 2), (6, 7)], b'z': [(0, 5), (1, 3), (2, 5), (7, 4)]}
15257320743334122075352726357546126640337133224233757366456244077626314520507533613520501525730040442074335066625050664044275650612034333533764573333556747534743611335033514633453433357542320333357573,{b'a': [(0, 0), (1, 0), (1, 2), (1, 5), (5, 1), (6, 1)], b'b': [(1, 7), (5, 5), (6, 7)], b'c': [(0, 2), (4, 2)], b'd': [(0, 5), (1, 3), (7, 1), (7, 3)], b'e': [(3, 3), (7, 5)], b'f': [(1, 6), (5, 2), (6, 3)], b'g': [(6, 2)], b'h': [(5, 0), (7, 4)], b'i': [(6, 6)], b'j': [(4, 3), (7, 7)], b'k': [(0, 6), (2, 1), (2, 3), (5, 7)], b'l': [(1, 1), (4, 0), (4, 4)], b'm': [(5, 3)], b'n': [(2, 5), (4, 5)], b'o': [(0, 4), (3, 1), (3, 2), (3, 6)], b'p': [(1, 4), (2, 4), (2, 6), (4, 1), (4, 7)], b'q': [(5, 4)], b'r': [(3, 5)], b's': [(2, 7), (7, 0)], b't': [(2, 0), (5, 6)], b'u': [(3, 0), (6, 5), (7, 6)], b'v': [(0, 1), (0, 3), (3, 7), (4, 6)], b'w': [(3, 4)], b'x': [(2, 2)], b'y': [(0, 7), (6, 4)], b'z': [(6, 0), (7, 2)]}
53302506705527014302575523152055036362723353175553157222032225075376635525700015300335556455025304356665205562533555006206135551536520551701510613557520007425175502725103350472304322067265706662250377,{b'a': [(0, 3), (5, 3)], b'b': [(1, 2), (3, 3), (6, 4), (7, 1)], b'c': [(0, 7), (2, 1), (7, 5)], b'd': [(2, 5)], b'e': [(5, 5)], b'f': [(5, 1)], b'g': [(3, 4), (5, 7)], b'h': [(1, 3), (2, 0), (7, 0)], b'i': [(0, 0), (6, 6)], b'j': [(0, 5), (7, 3)], b'k': [(2, 4), (4, 2), (6, 7)], b'l': [(6, 1), (6, 3), (7, 4), (7, 6)], b'm': [(0, 4), (1, 0), (1, 1), (1, 6), (3, 5)], b'n': [(0, 2), (2, 2), (3, 0)], b'o': [(0, 1), (7, 2)], b'p': [(3, 6), (4, 4), (5, 0)], b'q': [(2, 6), (3, 2), (3, 7), (4, 5)], b'r': [(1, 4), (1, 7), (2, 3)], b's': [(1, 5), (6, 2)], b't': [(0, 6), (6, 5)], b'u': [(3, 1), (4, 3)], b'v': [(4, 6), (5, 2)], b'w': [(4, 0), (4, 1)], b'x': [(4, 7), (6, 0)], b'y': [(2, 7), (7, 7)], b'z': [(5, 4), (5, 6)]}
24423174064106331152413601423141634050154136304156126652006441371542526214304152566235226401553137244223130166423555146214304121414545146231373321210152417301553631734121276237024545641516002470414575,{b'a': [(0, 1), (0, 2), (2, 3), (2, 4), (3, 3)], b'b': [(1, 0), (2, 6), (7, 1)], b'c': [(0, 0), (2, 5), (3, 4)], b'd': [(3, 1), (3, 6)], b'e': [(4, 1)], b'f': [(2, 7), (7, 2)], b'g': [(0, 3), (0, 5), (1, 3), (2, 2)], b'h': [(0, 6), (3, 0), (5, 7), (6, 4)], b'i': [(1, 5), (6, 6)], b'j': [(6, 1), (7, 7)], b'k': [(0, 4), (4, 7)], b'l': [(4, 5)], b'm': [(0, 7), (6, 3), (7, 0)], b'n': [(4, 2), (5, 5)], b'o': [(6, 2)], b'p': [(1, 2), (4, 0)], b'q': [(7, 6)], b'r': [(3, 7), (5, 6), (7, 3)], b's': [(1, 1), (1, 6), (4, 4), (7, 4), (7, 5)], b't': [(1, 4), (5, 0), (5, 2), (5, 4)], b'u': [(3, 5)], b'v': [(3, 2), (5, 3), (6, 0), (6, 5)], b'w': [(2, 1)], b'x': [(1, 7), (4, 6)], b'y': [(4, 3), (5, 1)], b'z': [(2, 0), (6, 7)]}
67643732701531212751772315231146726365642150233273703227653263264200275067452173233215426623463772672302517013456632702116103116111610323772426546522331337337006150716113132332461313746515167572643772,{b'a': [(1, 6), (2, 7), (4, 6), (6, 1)], b'b': [(1, 5), (6, 7)], b'c': [(0, 1), (7, 1), (7, 5)], b'd': [(3, 2)], b'e': [(2, 3), (4, 2), (7, 0)], b'f': [(3, 3)], b'g': [(0, 5), (2, 0), (5, 4)], b'h': [(0, 7), (2, 6), (5, 1), (7, 2)], b'i': [(2, 2), (7, 3), (7, 6)], b'j': [(5, 5), (5, 6)], b'k': [(1, 1), (1, 4), (4, 3)], b'l': [(0, 3), (1, 3)], b'm': [(4, 1), (4, 4), (5, 2)], b'n': [(1, 0), (6, 5), (6, 6)], b'o': [(3, 1), (7, 4)], b'p': [(2, 4)], b'q': [(1, 7), (3, 6)], b'r': [(2, 1), (7, 7)], b's': [(5, 0), (6, 3)], b't': [(0, 2), (3, 7)], b'u': [(4, 5), (6, 4)], b'v': [(3, 0)], b'w': [(0, 0), (0, 4), (3, 5), (4, 0)], b'x': [(0, 6), (3, 4), (4, 7), (6, 0), (6, 2)], b'y': [(1, 2), (5, 7)], b'z': [(2, 5), (5, 3)]}
47454274125352567176112534474525477671336576714017307044420240661127374346474060644721374550503342553760444307024044216370647024211107474542215243714760443647465421075677210425664053270212203040663652,{b'a': [(4, 7)], b'b': [(0, 4), (2, 6), (3, 1), (3, 2)], b'c': [(1, 7), (2, 3), (3, 6)], b'd': [(4, 2)], b'e': [(4, 0), (5, 2)], b'f': [(0, 3), (1, 0), (2, 7), (6, 5)], b'g': [(5, 0)], b'h': [(3, 0), (7, 1)], b'i': [(3, 7), (7, 0)], b'j': [(7, 4)], b'k': [(0, 6), (1, 5), (3, 4), (3, 5), (6, 7)], b'l': [(4, 4), (6, 0)], b'm': [(1, 4), (2, 0), (7, 7)], b'n': [(4, 5), (6, 6)], b'o': [(1, 1), (1, 2), (2, 5), (3, 3), (7, 5)], b'p': [(5, 6)], b'q': [(6, 1), (7, 2)], b'r': [(0, 2), (4, 6), (5, 1), (5, 4), (5, 7)], b's': [(4, 3), (5, 3), (6, 4)], b't': [(2, 4), (7, 6)], b'u': [(0, 7), (1, 3)], b'v': [(0, 5), (6, 3)], b'w': [(0, 0), (0, 1), (5, 5), (6, 2)], b'x': [(1, 6), (2, 2), (4, 1)], b'y': [(2, 1)], b'z': [(7, 3)]}
43724622315637302312414307467012230714773145622337501112431151671223046250230664763151147523512764772362641107673756646232230754442370352377773164622321467245511131643770516262076245110741373045623223,{b'a': [(3, 0), (4, 3), (5, 6)], b'b': [(0, 6), (1, 3), (2, 0)], b'c': [(2, 7), (3, 6), (4, 2), (7, 3)], b'd': [(4, 6), (5, 0), (6, 0)], b'e': [(4, 5), (6, 4)], b'f': [(0, 5), (1, 0)], b'g': [(3, 2), (5, 7)], b'h': [(1, 2), (3, 1)], b'i': [(0, 7), (5, 1)], b'j': [(0, 2), (5, 2), (5, 5), (6, 5)], b'k': [(2, 5), (5, 4), (7, 4)], b'l': [(6, 2)], b'm': [(2, 4), (6, 3)], b'n': [(3, 5), (4, 4), (7, 2)], b'o': [(2, 3)], b'p': [(2, 2), (3, 4)], b'q': [(2, 6)], b'r': [(2, 1), (3, 7)], b's': [(1, 4), (4, 1), (6, 7)], b't': [(1, 1), (7, 7)], b'u': [(0, 4), (1, 6), (5, 3)], b'v': [(0, 0), (0, 3), (4, 0), (7, 5)], b'w': [(7, 0), (7, 1)], b'x': [(1, 5), (1, 7), (4, 7), (6, 6)], b'y': [(7, 6)], b'z': [(0, 1), (3, 3), (6, 1)]}
62145102617244073151511701624545133151241416641364613352075401077046202572257514010361417054204225511772510753643070646141612053577225304364307002613366244444624272257514011353022070036133271741440157,{b'a': [(6, 2), (7, 5), (7, 7)], b'b': [(2, 3), (4, 0), (5, 0), (6, 7)], b'c': [(1, 5), (4, 5), (5, 5)], b'd': [(0, 1), (5, 1)], b'e': [(3, 3), (4, 1), (7, 2)], b'f': [(2, 7), (7, 0)], b'g': [(1, 2), (1, 6), (4, 2), (6, 0), (7, 4)], b'h': [(6, 1)], b'i': [(0, 6), (1, 7), (2, 4)], b'j': [(0, 4), (2, 1)], b'k': [(1, 1), (3, 4)], b'l': [(4, 4)], b'm': [(4, 6), (6, 3), (7, 6)], b'n': [(1, 4)], b'o': [(0, 7), (1, 3), (2, 0), (3, 0)], b'p': [(0, 0), (0, 5), (3, 2), (3, 7)], b'q': [(2, 2), (7, 3)], b'r': [(3, 1), (5, 4)], b's': [(2, 5), (5, 7)], b't': [(0, 2), (0, 3), (3, 6), (6, 4)], b'u': [(1, 0), (4, 3), (5, 3)], b'v': [(6, 6)], b'w': [(5, 2)], b'x': [(2, 6), (4, 7), (5, 6)], b'y': [(3, 5), (6, 5)], b'z': [(7, 1)]}
45775125420516020751244573517177251031102476242202511000776642744770154042237523027516761623242525420532334715574425464710172234657740024042761302075125102274302357775135457706024340460535757607732442,{b'a': [(4, 5), (5, 7), (7, 4)], b'b': [(0, 1), (1, 4), (3, 3), (5, 3)], b'c': [(0, 3), (5, 0), (6, 6), (6, 7)], b'd': [(5, 1)], b'e': [(0, 5), (1, 5), (2, 3), (7, 6)], b'f': [(1, 2), (3, 6), (3, 7), (4, 1), (4, 3)], b'g': [(2, 2), (7, 0)], b'h': [(3, 4), (4, 2), (4, 6)], b'i': [(2, 0), (7, 3)], b'j': [(5, 5), (6, 1)], b'k': [(4, 4), (6, 4)], b'l': [(1, 3), (1, 6)], b'm': [(2, 1), (3, 1), (3, 5), (5, 6), (6, 2)], b'n': [(7, 7)], b'o': [(0, 2), (1, 0)], b'p': [(7, 5)], b'q': [(5, 2), (6, 0), (6, 3), (7, 2)], b'r': [(0, 7), (4, 7)], b's': [(2, 4)], b't': [(2, 5), (4, 0)], b'u': [(1, 7), (6, 5), (7, 1)], b'v': [(0, 4), (2, 6)], b'w': [(0, 0), (5, 4)], b'x': [(1, 1)], b'y': [(0, 6), (3, 2)], b'z': [(2, 7), (3, 0)]}
55125241731211545530365555112661553735301123275231553761065216135537427464131734022217533136205512355452205767605454343655123654571217230177600655066100005537115555110527551237077363222361175302111734,{b'a': [(1, 1), (2, 2)], b'b': [(5, 0), (7, 6)], b'c': [(2, 1)], b'd': [(1, 0), (1, 3), (5, 7), (7, 5)], b'e': [(2, 7), (3, 5), (6, 1)], b'f': [(3, 1)], b'g': [(0, 1), (3, 3), (5, 1), (7, 4)], b'h': [(1, 2), (3, 7)], b'i': [(0, 7), (1, 7), (6, 0)], b'j': [(0, 3), (5, 6), (7, 0), (7, 2)], b'k': [(0, 5), (1, 5), (2, 6)], b'l': [(0, 6), (5, 4)], b'm': [(0, 4), (2, 3), (4, 3)], b'n': [(3, 0), (3, 4), (5, 3), (6, 3)], b'o': [(3, 6), (5, 2), (6, 4)], b'p': [(6, 2), (6, 5)], b'q': [(4, 4), (7, 1)], b'r': [(1, 6), (2, 0)], b's': [(0, 0), (7, 3)], b't': [(5, 5)], b'u': [(4, 1), (4, 6), (6, 6), (7, 7)], b'v': [(0, 2), (2, 5), (4, 0)], b'w': [(3, 2), (4, 5), (4, 7), (6, 7)], b'x': [(2, 4)], b'y': [(4, 2)], b'z': [(1, 4)]}
