nethrralgethladdtalteeloudyeeihlthhteasgaweisgtitleahsltuhgeessoomorgtragtehntsrtreimdtrdghehtdeonaa,[array([0, 1, 2, 3, 4]), 15]
estwionwdelihldaohnhhshuoeeoitpnieddtooiteaattthdahmahrtudnitadrgdnwmtshtatntaseebgmadanduoiasdnseee,[array([0, 1, 2, 3, 4]), 3]
ereghnhseeachwpedxnlteadeiltruhweveotasveciynehahglhenthhervdadtraleduoatlthiawdroeneeeneieprlhtelwr,[array([0, 1, 2, 3, 4]), 11]
teoneetsehftydhgrsboaldmbihithrcioanoanenslasnlhaemeehtoelnmutdayuharadainnmsmeafhdemnhsoeecsaaftroi,[array([0, 1, 2, 3, 4]), 5]
endhhaahdrfshhadehcetehngiteoreawoicsadeietrotgdanowtatnerhasadsemtriitrurnutelwadralmlntppnoanlwdle,[array([0, 1, 2, 3, 4]), 11]
trndabeenecltudhesueawsdebtdradmosalouhbeabhrinebenhhnaktafalanhbreasddhuieteunahniwldbcokesraloetea,[array([0, 1, 2, 3, 4]), 14]
poenlorterohaehnahceoesgdueiyysarbnmenstatthrfaagwslsodhcyyeondookhfidirynilyiunalumsrcjoolsilvalpfe,[array([0, 1, 2, 3, 4]), 1]
rwlibiiitelraadheotsoeoctsokthniilsaahoiohrahdyveergnoedtwiienphaitdholhstlalonlrhrltlodsstuioewoeeg,[array([0, 1, 2, 3, 4]), 10]
lctdaouoolofeoacgorosnrgothutfladueiahrdontofedfsdoesutignthentdirihwmstedefheohveaotlsdddeohitsesfd,[array([0, 1, 2, 3, 4]), 2]
edeceeruhgamhliussnhhplsbeogteoamneptoanogwateetyarholtzdyhehadrstmooreoltekhutodenotrsndodgphtnrafi,[array([0, 1, 2, 3, 4]), 3]
leodntillahntatktefrtivrhwlodiththiivhhnahmtohdaoedlhhultttseaosoteahlyoiflrntigesaenmiutnegnoomskan,[array([0, 1, 2, 3, 4]), 1]
ouerototmoaymsdnpoangdeoyuahrafrfctetdeitepeorimpeahiayeereasonsaohlftosorvntsebbyushinastefcodfeotn,[array([0, 1, 2, 3, 4]), 12]
almesastaestdnalyemnrhetehsoeshfehsieodhblnoeeaealtirbttiyaathgyseoutihlynfhtnfsnedlcttsehntlyaoillo,[array([0, 1, 2, 3, 4]), 0]
aeorehnfipeisnhbhfutwssaagfibtritnerttdtrttooetelhiofusilsahseefredhcnhsdlenstctelrntoknoaetibgyhadc,[array([0, 1, 2, 3, 4]), 0]
aanauotloiahannnoshlgndoeacecntohltewtdodststnterhbaoegansthmhearhshubiohotenfhrgadwswtraiortfrtenai,[array([0, 1, 2, 3, 4]), 8]
pnknoigetfrueuadcietcntoaahtnhotenothtclintoeganritaoeehbashdadteettefhrgoentbesdeacewrnhshtevslitla,[array([0, 1, 2, 3, 4]), 11]
ebeantioeebthseufrdaosnehmodhsldaonhrdlhrfinrspedotlwhpkrduoeanetnonaosrsuthbhcrnontpatawtgneneiiuul,[array([0, 1, 2, 3, 4]), 4]
dfhtuomuhsfooniitsaaorieftadnteaeoilrgdanfhrlefftrtiyltuieteaedrteyaletetehtyeoonrhrmhyuheyhhaiyceto,[array([0, 1, 2, 3, 4]), 6]
ieeseolahmedhmbtbosehcnfidmnsaaahseaayslhifahtaithrfahlgltophnbhlermnadpahceoseleilnfzrdatantensbeou,[array([0, 1, 2, 3, 4]), 2]
ydaftahemdefeteilgeonhdnnubseteahmoknhhinpurueondendihhibtarootadteeereuasvdedtadotterhwthwtseretuta,[array([0, 1, 2, 3, 4]), 2]
rradtrhehediayefomneanoiocirbpohyebmgnemdmadnguphtisoaentpheeddhoeehtraniahhbfazadicfrotvtuihwelntol,[array([0, 1, 2, 3, 4]), 1]
hamododhuttesatkaelroifrrwtogishehmiultenoedgnntoiolmlsakhanntototefhtyvihllnditetainvihnhthaelhltsa,[array([0, 1, 2, 3, 4]), 3]
fssehnebbamooaeaahlstcelbaalsrnnidfoldshitebsihremcteieedhistinhrdereewidticpthtrltpiioaelbdlheohehn,[array([0, 1, 2, 3, 4]), 4]
hctnntmeiitfteeauoaoetfhtodndnlnsbojodplmofdnthoesnncegataorehnepepjrtedyfrtaapigherercaouohaihmledi,[array([0, 1, 2, 3, 4]), 12]
irtmsvracotdatmodnoaaehieicegehnflhntttelsujukeanscusahieieeoitateadohehrkadmiitlrsascmhhistpncndree,[array([0, 1, 2, 3, 4]), 9]
urvayaoishedmtntieigvnitnlrfsatnecaiueuteblmseanicedorwhirnsanhbohefoenthrehgdaleriahstttosoetoeiteo,[array([0, 1, 2, 3, 4]), 5]
hinthectaheegtienacerternacgofmteishiaeshhtehifcdonontrisstwtrlsiteiotbohlfarihileeiihvlsrfeiddeicti,[array([0, 1, 2, 3, 4]), 7]
enlihoeieeiehceoedlngtlrhllvhmhhmdvnthrfaiitioedtoeetitafieysadidirdvhsfhadrdrdnonoasernlseetndetdna,[array([0, 1, 2, 3, 4]), 3]
sweeshltdewseayertvnnoteeoehashmiotlhierbhetoforhrvihataeuoauaddheyrnhsmmatdifevdlvlnyontmeeyslyeidy,[array([0, 1, 2, 3, 4]), 11]
arddstulurfrrnodnsncaarimeetmeeekoevaedlcataadtemaluhalwdarsaetteaeodleohessmesassetynhhhmoltsannpht,[array([0, 1, 2, 3, 4]), 8]
soturclsdwetehyuadasukihlhoentdihanhyarthaceoihyaahnahrltriayadlcityeoynwehvcyueoloyutanlnbfgseolnod,[array([0, 1, 2, 3, 4]), 3]
tsdiguottssbsdhitiuvdotoctmsadhitredydnelianaadhhotehvneliudihoapinstdmaatmswteapincdvigheoiteisheas,[array([0, 1, 2, 3, 4]), 5]
ststyaainrshedadooethuonndndaooevsetltnuihhsroouadisemsfsaeteeialaiwoauhnmdvwrtetynjhbhmsmntgaehhtee,[array([0, 1, 2, 3, 4]), 13]
ljoitvwiidseuceafrdwieeeeahtvdeoipctaaahvnhiimddnhltaaaduhrnwnssteiealsaittlindvitfeeiedtlslvowdoosc,[array([0, 1, 2, 3, 4]), 2]
