gdwgihgeihltadsetohneasaonaeetshtrtreahllguegtehsloogrgenstemtadateodeilhtadmtrltealtuhyterhrtihders,[array([2, 0, 4, 1, 3]), 4]
tooiteaattthdahmahrtudnitestwionwdelihldaohnhhshuoeeoitpnieddnduoiasdnseeeadrgdnwmtshtatntaseebgmada,[array([1, 2, 0, 4, 3]), 3]
ereghnhseeachwpedxnlteadeiltruhweveoadtraleduoatlthiawdroeneeeneieprlhtelwrtasveciynehahglhenthhervd,[array([3, 2, 4, 1, 0]), 7]
nenslasnlhaemeehtoelnmutdteoneetsehftydhgrsboaldmbihithrcioanoaayuharadainnmsmeafhdemnhsoeecsaaftroi,[array([4, 3, 0, 2, 1]), 9]
nstdpiptnoogaanoltwtdelheshdheenieraocdetituntlarlleanedehrhtadanhwdarnfrsaahsamercitrhrguteowedwaim,[array([2, 0, 4, 3, 1]), 14]
uhsewdbdamslubesdueenhilbeobkrensbrnahlaoteftlenadreaudahsietturadnowadochbtarhnideaebheneknaeacalht,[array([0, 4, 3, 2, 1]), 7]
aehnahceoesgdueiyysarbnmepoenlorterohjoolsilvalpfenstatthrfaagwslsodhcyyeondookhfidirynilyiunalumsrc,[array([1, 0, 3, 4, 2]), 9]
nahdiedtoohottaootlnhilslpathlsllnrrtoarowolrihbyieirinteetliredhsishtaudivoeegwoodeweigahosecskhila,[array([4, 2, 0, 3, 1]), 9]
dhdddneooehfidtesueisnfhdalrcottdfadosuoosotlgotfetiiwseehovatsocoongtufauinedarghrmstrdofhethledoel,[array([2, 0, 4, 1, 3]), 13]
hisnhlbotometeadoewcteeeyrruohtgdahmhartorotkuoeordlsumsoheplseehgtedanntpsnodnogdagepthathnlrzayfei,[array([2, 4, 3, 1, 0]), 8]
tototefhtyvihllnditetainvisatkaelroifrrwtogishehmiultenoedgnntoiolmlsakhannhamododhuttehnhthaelhltsa,[array([3, 1, 2, 0, 4]), 3]
msdnpoangdeoyuahrafrfctetouerototmoaynsaohlftosorvntsebbyushinastefcodfeotndeitepeorimpeahiayeereaso,[array([3, 2, 4, 0, 1]), 8]
nlenhthosfhioadlbmneesaaasttrateisattdgsothyftfndctehhlnoteleylaiobitlylaohyaeyumirlenehsnesheelstes,[array([2, 3, 4, 1, 0]), 3]
oaetibgyhadcaeorehnfipeisdtrttooetelhiofusilsahseenhbhfutwssaagfibtritnerttfredhcnhsdlenstctelrntokn,[array([0, 4, 2, 3, 1]), 12]
ddtttrbogntmeossnehaeashhrnsouhighdtenchcgtdhsttwaaainoarutoftrltoeinaahiananhshlbnoooaeefnroalwewtr,[array([0, 4, 3, 2, 1]), 14]
atetfronbsecwhpcniktneoairgteotefbrsudduedtiethngoeattehdtanetreacectahnoeonthlsnhotgenvisaleihtalha,[array([3, 1, 2, 4, 0]), 12]
awtgneneiiuulebeantioeebthseufrdaosnehmodhsldaonhrnetnonaosrsuthbhcrnontpatdlhrfinrspedotlwhpkrduoea,[array([1, 2, 4, 3, 0]), 4]
nhhelyfhthtayityicteatdoadffrhetfuroimluuhesefeorotyltthyonhmynisaretdtaolgietaaeoeieftaenoererihrud,[array([2, 0, 4, 1, 3]), 11]
